id,name,weight,type,contract_part_id
8ec75710-eda0-4e2e-883f-b9b870715fc5,nabídková cena - zmlazovací řez,5%,AC_COST,7a3890ca-86f3-4543-839f-bf80d0b7f06b
a18b98cf-2d3f-4935-b02d-bed5acff0345,nabídková cena - průchodnost a průjezdnost,5%,AC_COST,7a3890ca-86f3-4543-839f-bf80d0b7f06b
827796ea-14c0-4ed7-9b66-bad3e91505dd,,100,AC_PRICE,1acd17f0-0d96-4975-8027-7632c52f2916
3bb21991-5185-4666-9f97-6f3176b96928,,100,AC_PRICE,985a90ff-0047-4446-8e0c-e56408cf82ed
ea2c663f-dd9c-44a6-a827-3de7b5fe435f,,100,AC_PRICE,d70b35a6-5c84-422f-9b7f-b3260dc6f719
15c53005-ab84-42a9-a547-ac275611d8c2,,100,AC_PRICE,6d7fffc3-b047-4a06-be21-605a81fc1bb1
287f08d4-0abe-429a-966a-3d4f2391f13d,,100,AC_PRICE,8b999a77-6685-4d29-a401-289ec33b2d79
86d261b6-513b-4ac2-b98d-483c796b7081,,100,AC_PRICE,e27ce311-dc2d-4bc8-b88d-e3033b7a8f08
965b7393-75a7-40fe-8fcb-3359696fd8c8,,100,AC_PRICE,4b646cb0-00bc-45c3-885a-01c414f3e531
15910e10-5bfa-4fbc-aeda-fe6c5026467f,,100,AC_PRICE,73e3951c-5e8a-44de-81ab-bfcd1eb0e07f
42da6cdb-4f0c-44d1-8146-858b868ee460,,100,AC_PRICE,a5bb193e-9cea-4eeb-8547-74fad69d91d6
d5a88147-11cf-4411-a786-45c74f330d0c,,100,AC_PRICE,6850b9fe-3e89-4c8f-8041-6ab32ff4d531
df6df914-33cc-43a8-8b02-0d3e95482246,,100,AC_PRICE,a1a0a683-ef80-44e1-bc20-dc7ad130fdf7
6be5166f-9db6-4f14-8662-b356995c37bd,,100,AC_PRICE,8490d2e6-6dcc-4b38-adf6-a67eae6f2a4c
a086642b-89fb-4aa2-8122-03f6cabac799,,100,AC_PRICE,23db44a3-fa2b-4eaa-972a-42dd45a253e9
d7c4268c-dbbf-49d0-8ecc-b261b97bb73c,,100,AC_PRICE,3724cdf0-cd5b-4a1f-bf0e-cf3609aab443
2c78ab0d-9a32-4483-9242-e9197abc2fd6,,100,AC_PRICE,80f0afa1-2bfb-4dfe-b871-b633be11b6d1
de9b3a25-7a87-45e9-a69b-a9fc55396169,,100,AC_PRICE,3fd7e816-8ac5-4dca-9d5f-ae22f8f22a08
2d869149-9fc2-477f-bf35-0e51bf1e3e18,,100,AC_PRICE,e630d033-1424-487c-ab1b-d8d516edbd39
d04e98b0-7013-4d7d-9b24-67bce5d6cec0,,100,AC_PRICE,b5335fa8-c9a7-41d9-832a-928d9f87c7c4
06f0b60a-e3dc-4518-8e0b-b141f34f9ed3,,100,AC_PRICE,2813d683-616d-4262-a7c0-46656279934a
0e7b3f82-d887-4754-b7bb-c94c96009860,,100,AC_PRICE,80bb96ca-38d1-4788-84e7-fd54bd3d5cf5
e46472e0-5fb9-4646-8063-43dbe86ab7ae,,100,AC_PRICE,42291650-fdfd-419e-a78b-61810a3b45d7
ba3f0f94-948b-4261-9797-330a23bee040,,100,AC_PRICE,6e75e290-e963-4546-a1ff-4cae857163c1
cf0b0e2e-242a-4fa2-946c-ed9e416dc8fa,,100,AC_PRICE,1e4cd5e0-d80a-448d-90ef-9ad162c235a1
eb0e0049-8c10-4bf0-bea3-1ba3a203dc13,,100,AC_PRICE,ca151346-81d9-4e25-9408-4414e4d70a03
79f6526d-b9ad-4aee-ba65-42266145ef56,,100,AC_PRICE,c05b0fe8-a1d9-4dcc-af78-f733babad23e
1d69d171-bbdb-4368-83e8-541dd632bb2e,,100,AC_PRICE,4138ca6a-91e3-4834-a73d-f0f07fc24c75
a44568f8-c5ac-4304-a97a-4d5fb666931d,,100,AC_PRICE,ae242fa9-e6cb-456f-a943-a6f5945182bd
9b0caabf-eca6-4291-b6bf-9896bfbcb12f,,100,AC_PRICE,13d453c7-a2c7-4b9d-b187-b5489fb984a8
87d96574-4b66-48a3-8931-2a1a2fe9b924,,100,AC_PRICE,02e6675f-193d-4910-88fa-2bd0a717de37
a109c31c-a07f-40a7-81e8-5a2c523c32ed,,100,AC_PRICE,56f1355b-5c84-4737-82e3-f97a9fa955b2
d8c789e5-fc36-45db-8d9a-85946607eb95,,100,AC_PRICE,a4d8de8d-fa9e-4784-9c4b-8c2b2d63a10e
3839f1fd-3383-4a1f-ac02-8f2fc3b3da0d,,100,AC_PRICE,a47fd6fc-9c99-40e2-9c5e-4f338a76d00b
d0c80725-20fa-4e6e-9b5f-1f00e26f1b5d,,100,AC_PRICE,45b59553-5f59-44fc-b862-b61e5c16af25
79fb5857-9af1-4960-bad9-b6136551fdc7,,100,AC_PRICE,b997049b-92bd-4162-b590-bad92ac49c5f
4119b49e-62d8-4459-bcca-8e30833da504,,100,AC_PRICE,89d7014b-174a-41f0-9f0d-a2572c693c60
a1f1cbb8-ea9d-45e8-856d-c99e4a5e7573,,100,AC_PRICE,2353ab9d-bc74-476d-a01d-4b89c15e990d
92f4d10d-da41-4b89-b726-57023a449f0c,,100,AC_PRICE,976ee3e1-bf01-4840-bc26-b7cc103dd779
ad4cc7b6-3c4a-4fa7-88e9-2859133bc7ee,,100,AC_PRICE,098aba27-d0ac-40f5-a08a-5012e393772d
fb7cb7ab-fd74-4124-a1f2-19b81cf2261b,,100,AC_PRICE,e9762955-e171-4428-a4f9-7112a0e97bb7
bc292e2b-1333-4e5b-a3f6-5278697a6258,,100,AC_PRICE,a7aee96a-d232-46ab-8869-df0b881164b5
9c0e0e2a-3d0f-44d3-93ef-39e905c2f2e3,,100,AC_PRICE,80afd620-c08d-46de-afc0-47cf7361882a
2813e0a4-cc0b-46bf-bf24-719766c182e0,Délka záruční lhůty,20,AC_QUALITY,70966e69-7ff9-47b9-b999-f0bda5bd502d
2c77ace3-2540-43cc-8bad-fe0f97d9d5d3,Celková nabídková cena bez DPH,80,AC_COST,70966e69-7ff9-47b9-b999-f0bda5bd502d
26e6e068-a09f-461b-8d57-1914a91bc45c,Délka záruční lhůty,20,AC_QUALITY,d0d0867f-19a1-4c88-a885-26bc0c3089de
fed712eb-5ccb-4544-9b5d-c95c06e6991c,Celková nabídková cena bez DPH,80,AC_COST,d0d0867f-19a1-4c88-a885-26bc0c3089de
d7f23d09-d0e4-40fb-b6e6-f54a9166a505,,100,AC_PRICE,f1e2f07d-789a-4efd-9c2b-cc06a469a429
cdcbae77-3817-4ca3-8ce0-037d56fed8c0,Celková nabídková cena,98,AC_COST,43bc296a-fa84-4da2-9cad-69a3e98e492d
8e9e8b0c-1782-4dfe-8f4a-267afd581210,Sazba zahrnující veškeré náklady na dopravu servisního vozidla s technikem k zadavateli na místo opravy a zpět (pro pozáruční servis),1,AC_COST,43bc296a-fa84-4da2-9cad-69a3e98e492d
8a5bbcb8-f7fa-4197-becc-d90f48d23903,Hodinová sazba za veškeré typy servisních a opravárenských prací (pro pozáruční servis),1,AC_COST,43bc296a-fa84-4da2-9cad-69a3e98e492d
bf7efbca-1d46-49d0-b169-9aa2c41ee28f,,100,AC_PRICE,72535308-1328-411c-87fd-17e8f834b8d6
08d0b79b-ac49-41db-8666-5d8315eee12a,,100,AC_PRICE,9bdd1bfc-03f4-4a73-80a9-e9c8b68840cf
677f48f2-cfaa-4bff-8c1b-dc5290f8141e,,100,AC_PRICE,f2506fbf-350d-4ae0-b0d8-4f77bd8f84f7
7435b714-66af-431c-a4b3-bff50e2c0804,,100,AC_PRICE,76a15c91-d663-4906-8e99-8fbddbfa85eb
2f4ec5be-0370-4aa2-b991-ab4211c60659,,100,AC_PRICE,d8119077-87b6-4976-bdbd-c65c7d7adef3
ad0a7d20-06cc-4dd1-bd7b-acf1ea6829d5,,100,AC_PRICE,be566364-da08-47ca-8d93-209350d3a155
fd0ae204-47d2-4d74-8736-1e5c40ee7e5a,,100,AC_PRICE,e104abce-4563-485c-97e4-05e00cd8742b
3ff8df25-f0d2-4ea9-9517-4f6d464621ee,,100,AC_PRICE,7fd0c372-5e85-42d6-a039-c052be35efdc
89173782-0277-4506-9467-755f3c3a0bde,,100,AC_PRICE,3a79f00c-f844-4c70-bb28-91fbdbc81e49
8e008378-ff4f-4f0e-812c-2791b35c36aa,cena za 1t ACO 11,50,AC_COST,be918b29-94cf-41e5-a6ee-28d459cbceda
06528e62-ec8a-4387-88cf-e784c11cec2d,cena za 1t ACO 8,20,AC_COST,be918b29-94cf-41e5-a6ee-28d459cbceda
6b309fb7-380a-4ac0-8e95-ed52c3dec5f5,zdálenost z obalovny účastníka do sídla zadavatele,30,AC_COST,be918b29-94cf-41e5-a6ee-28d459cbceda
893a97f8-b1b2-4da1-ab1f-e9994d2717a2,,100,AC_PRICE,a84c9f96-2efc-4f49-8968-5c657e3d5cbf
0dc65d8f-a0bd-487d-949e-662b94b6081f,,100,AC_PRICE,7545c164-972c-4ddd-9c47-5c44f0539870
1cd1700b-97d9-45c3-96ca-33e05141071f,,100,AC_PRICE,c0cdbf9a-1cdf-4c89-a9ee-b54ce54d7153
f11994ae-8f18-4e78-bc42-adfb81e0f725,,100,AC_PRICE,9d943475-58c4-42e0-9c6d-f4578c5fbc03
ebbb05dc-46f8-4f1d-a775-af1fc3835465,dle RD,100,AC_QUALITY,eaaddcb4-eb71-4b3a-85bc-d9a545090adc
8046778f-f173-47d4-8b6e-b660648bb8cc,,100,AC_PRICE,eaaddcb4-eb71-4b3a-85bc-d9a545090adc
32973ae8-55d0-4031-b5bf-87a192242bbc,,100,AC_PRICE,5ffa7307-942f-4aeb-b98c-d741eb267d22
c0ad7857-a8a8-4bd4-86f2-bcee3dec1fcc,,100,AC_PRICE,2f6a0dfd-8340-4514-b3ed-a6d88581a669
23f6ed38-b160-4927-af5a-6f4e62a03ebc,,100,AC_PRICE,5555ccf8-a914-4d89-a70b-3bedeb2ec36d
8a029d3c-a792-4776-86f5-06c837a8b66c,,100,AC_PRICE,6f01912e-7540-4175-930f-9b56f3da9195
57d8d66c-9733-41ad-9e2e-c47097c8f2a8,,100,AC_PRICE,fe561b65-858c-462d-a02d-b3f59d510ec6
8a858d33-76a1-4eaf-9bb3-75864b4bcaf5,,100,AC_PRICE,32153f8b-44cc-475c-a7ec-ca7d6211475b
b240fcc5-0e12-4d39-ad21-2b45fabcc386,,100,AC_PRICE,c38167af-0439-4127-afb8-59be61962233
cf23772b-b736-46e2-955d-cec23486ef62,,100,AC_PRICE,7f5004dc-52d8-44c6-8bd6-c3585c5c813b
274bde0f-757a-4cc0-961b-1e5f99192cbe,Kvalita kreativního konceptu kampaně,40 %,AC_QUALITY,18b0fe6a-0500-4661-b635-f13c25abeced
05f85951-6546-419a-b3fe-3e6237d3b0a8,Nabídková cena,60 %,AC_COST,18b0fe6a-0500-4661-b635-f13c25abeced
35f13ef7-d7a8-4e19-804f-3473eefb73b6,,100,AC_PRICE,5d423b39-eda1-4cea-a6ac-3009f3ba044f
7226ae16-edde-44da-8b75-ee8b5410a81c,,100,AC_PRICE,851792b0-1c07-4400-a293-182f90f504e8
