contract_id,criterion,description,label
         3255681,Cena 1 Nh opráv nadstavby CAS30 Iveco Trakker v Euro s DPH,"Predmetom zákazky je vykonávanie opráv mobilnej hasičskej techniky - špeciálnych nadstavieb CAS30 na podvozkoch Iveco Trackker a Tatra T-815-7. Špeciálne nadstavby slúžia na prepravu nádrže na vodu, nádrže na penidlo, vysokotlaké",Oprava a údržba nákladných vozidiel
         3255681,Cena 1 Nh opráv nadstavby CAS30 Tatra T815 v Euro s DPH,"Predmetom zákazky je vykonávanie opráv mobilnej hasičskej techniky - špeciálnych nadstavieb CAS30 na podvozkoch Iveco Trackker a Tatra T-815-7. Špeciálne nadstavby slúžia na prepravu nádrže na vodu, nádrže na penidlo, vysokotlaké",Oprava a údržba nákladných vozidiel
         3255744,Kritéria nákladov,"Stavba bude umiestnená na pozemku mesta Lipany, ktoré má záujem o realizáciu predmetnej stavby. Jedná sa o výstavbu komunikácií a technickej infraštruktúry pre nasledovnú výstavbu rodinných domov v danej lokalite. Plánovaný poče",Práce na kompletnej alebo čiastočnej stavbe a práce inžinierskych stavieb
         3255744,Lehota realizácie,"Stavba bude umiestnená na pozemku mesta Lipany, ktoré má záujem o realizáciu predmetnej stavby. Jedná sa o výstavbu komunikácií a technickej infraštruktúry pre nasledovnú výstavbu rodinných domov v danej lokalite. Plánovaný poče",Práce na kompletnej alebo čiastočnej stavbe a práce inžinierskych stavieb
         3255744,Celková cena stavebných prác v EUR s DPH,"Stavba bude umiestnená na pozemku mesta Lipany, ktoré má záujem o realizáciu predmetnej stavby. Jedná sa o výstavbu komunikácií a technickej infraštruktúry pre nasledovnú výstavbu rodinných domov v danej lokalite. Plánovaný poče",Práce na kompletnej alebo čiastočnej stavbe a práce inžinierskych stavieb
         3255948,Kritéria nákladov,Predmetom zákazky je dobudovanie kanalizácie v obci Abrahám. Bližšia špecifikácia rozsahu stavebných prác je definovaná projektovou dokumentáciou a výkazom výmer.,Stavebné práce
         3255948,Lehota výstavby v kalendárnych dňoch,Predmetom zákazky je dobudovanie kanalizácie v obci Abrahám. Bližšia špecifikácia rozsahu stavebných prác je definovaná projektovou dokumentáciou a výkazom výmer.,Stavebné práce
         3255948,Cena bez DPH,Predmetom zákazky je dobudovanie kanalizácie v obci Abrahám. Bližšia špecifikácia rozsahu stavebných prác je definovaná projektovou dokumentáciou a výkazom výmer.,Stavebné práce
         3255952,Kritéria nákladov,Zníženie energetickej náročnosti budovy obecného úradu Dlhé nadCirochou,Stavebné práce
         3255952,Lehota výstavby v pracovných dňoch,Zníženie energetickej náročnosti budovy obecného úradu Dlhé nadCirochou,Stavebné práce
         3255952,Celková (zmluvná) cena predmetu bez DPH,Zníženie energetickej náročnosti budovy obecného úradu Dlhé nadCirochou,Stavebné práce
         3255961,Kritéria nákladov,Predmetom zákazky je rekonštrukcia a modernizácia energetického hospodárstva a niektorých ďalších prvkov vybraného súboru budov vo vlastníctve Hlavného mesta Slovenskej republiky Bratislava.,Energetika a súvisiace služby
         3255961,Celková výška garantovaných úspor počas Obdobia garancie na základe zmluvy o energetickej efektívnosti,Predmetom zákazky je rekonštrukcia a modernizácia energetického hospodárstva a niektorých ďalších prvkov vybraného súboru budov vo vlastníctve Hlavného mesta Slovenskej republiky Bratislava.,Energetika a súvisiace služby
         3256059,Kritéria nákladov,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
         3256059,Emisie CO,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
         3256059,Emisie NOx,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
         3256059,Spotreba PHM,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
         3256059,Systém samostatne výkyvných polonáprav,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
         3256059,Cena,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
         3256086,Kritéria nákladov,"Predmetom zakazky je Cyklolavka cez rieku Nitra.
Podrobnejsi opis predmetu zakazky je sucastou sutaznych podkladov.",Stavebné práce na mostoch
         3256086,Lehota vystavby v kalendárnych dňooch,"Predmetom zakazky je Cyklolavka cez rieku Nitra.
Podrobnejsi opis predmetu zakazky je sucastou sutaznych podkladov.",Stavebné práce na mostoch
         3256086,Najnižšia cena za predmet obstarávania v EUR s DPH,"Predmetom zakazky je Cyklolavka cez rieku Nitra.
Podrobnejsi opis predmetu zakazky je sucastou sutaznych podkladov.",Stavebné práce na mostoch
